Code,date,y_true,y_pred,residual,abs_residual
652900,2023-05-01,522.0,474.46704,47.532958984375,47.532958984375
652900,2023-06-01,502.0,482.61566,19.38433837890625,19.38433837890625
652900,2023-07-01,576.0,417.94293,158.05706787109375,158.05706787109375
652900,2023-08-01,645.0,511.4136,133.58639526367188,133.58639526367188
652900,2023-09-01,820.0,499.96158,320.0384216308594,320.0384216308594
652900,2023-10-01,931.0,524.20966,406.79034423828125,406.79034423828125
652900,2023-11-01,1040.0,699.04913,340.95086669921875,340.95086669921875
652900,2023-12-01,1048.0,1038.2633,9.7366943359375,9.7366943359375
652900,2024-01-01,3229.0,1640.3104,1588.6895751953125,1588.6895751953125
652900,2024-02-01,1925.0,2417.06,-492.06005859375,492.06005859375
652900,2024-03-01,2626.0,3201.7527,-575.752685546875,575.752685546875
652900,2024-04-01,2779.0,3638.7463,-859.746337890625,859.746337890625
652900,2024-05-01,3065.0,3314.3145,-249.314453125,249.314453125
652900,2024-06-01,2875.0,3566.6968,-691.69677734375,691.69677734375
652900,2024-07-01,2949.0,3352.181,-403.180908203125,403.180908203125
652900,2024-08-01,3186.0,3272.2144,-86.21435546875,86.21435546875
652900,2024-09-01,3250.0,3550.608,-300.60791015625,300.60791015625
652900,2024-10-01,4068.0,3789.162,278.837890625,278.837890625
652900,2024-11-01,4098.0,3709.5798,388.420166015625,388.420166015625
652900,2024-12-01,5765.0,4527.8745,1237.12548828125,1237.12548828125
653000,2023-01-01,31.0,6.484076,24.515923976898193,24.515923976898193
653000,2023-02-01,7.0,16.767307,-9.76730728149414,9.76730728149414
653000,2023-03-01,12.0,10.037556,1.9624443054199219,1.9624443054199219
653000,2023-04-01,22.0,16.25206,5.7479400634765625,5.7479400634765625
653000,2023-05-01,9.0,23.683065,-14.683065414428711,14.683065414428711
653000,2023-06-01,3.0,18.254032,-15.254032135009766,15.254032135009766
653000,2023-07-01,4.0,9.319737,-5.319737434387207,5.319737434387207
653000,2023-08-01,4.0,9.984843,-5.9848432540893555,5.9848432540893555
653000,2023-09-01,2.0,11.114763,-9.114763259887695,9.114763259887695
653000,2023-10-01,5.0,12.649884,-7.649884223937988,7.649884223937988
653000,2023-11-01,17.0,18.710548,-1.7105484008789062,1.7105484008789062
653000,2023-12-01,13.0,33.95831,-20.958309173583984,20.958309173583984
653000,2024-01-01,49.0,39.182682,9.817317962646484,9.817317962646484
653000,2024-02-01,9.0,22.562044,-13.562044143676758,13.562044143676758
653000,2024-03-01,21.0,51.38863,-30.388629913330078,30.388629913330078
653000,2024-04-01,15.0,51.013615,-36.013614654541016,36.013614654541016
653000,2024-05-01,14.0,60.349194,-46.34919357299805,46.34919357299805
653000,2024-06-01,29.0,55.316998,-26.316997528076172,26.316997528076172
653000,2024-07-01,33.0,54.856327,-21.856327056884766,21.856327056884766
653000,2024-08-01,18.0,58.260704,-40.260704040527344,40.260704040527344
653000,2024-09-01,48.0,59.319744,-11.319744110107422,11.319744110107422
653000,2024-10-01,41.0,82.17371,-41.17371368408203,41.17371368408203
653000,2024-11-01,39.0,84.001015,-45.001014709472656,45.001014709472656
653000,2024-12-01,43.0,94.31483,-51.31482696533203,51.31482696533203
